ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,ch,chp,time
859.7,6855715,1720769090,1720769090,160,417,859.7,859.95,41,652838,1740716,859.55,855.3,863.0,0,0,856.7,856.7,3.0,0.3502,1720788890.445556
859.95,6855715,1720769090,1720769091,160,417,859.7,859.95,33,652838,1740716,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788891.140292
859.95,6855817,1720769090,1720769091,3,290,859.85,859.95,33,648102,1741707,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788891.54036
859.95,6855817,1720769090,1720769092,3,290,859.85,859.95,33,648102,1741707,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788892.142545
859.95,6855852,1720769091,1720769092,2,256,859.85,859.95,33,653852,1741673,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788892.641285
859.95,6855852,1720769091,1720769093,2,256,859.85,859.95,3,653852,1741673,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788893.143195
859.95,6855908,1720769092,1720769093,2,200,859.85,859.95,3,653852,1741542,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788893.617337
859.9,6855908,1720769092,1720769094,2,200,859.85,859.95,5,653852,1741542,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788894.344461
859.95,6855914,1720769094,1720769094,2,199,859.9,859.95,1,655046,1741475,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788894.743242
859.7,6855914,1720769094,1720769095,2,199,859.9,859.95,111,655046,1741475,859.55,855.3,863.0,0,0,856.7,856.7,3.0,0.3502,1720788895.14012
859.95,6856158,1720769095,1720769095,144,275,859.7,859.95,1,649522,1741514,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788895.54205
859.7,6856158,1720769095,1720769096,144,275,859.7,859.95,100,649522,1741514,859.55,855.3,863.0,0,0,856.7,856.7,3.0,0.3502,1720788896.142502
859.95,6856349,1720769096,1720769096,154,135,859.7,859.95,33,651796,1741440,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788896.453773
859.95,6856349,1720769096,1720769097,154,135,859.7,859.95,33,651796,1741440,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788897.143264
859.95,6856451,1720769096,1720769097,8,1,859.85,859.9,33,654990,1742088,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788897.343792
859.95,6856451,1720769096,1720769098,8,1,859.85,859.9,17,654990,1742088,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788898.225755
859.85,6856504,1720769098,1720769098,6,59,859.85,859.95,1,653551,1741762,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788898.350272
859.85,6856504,1720769098,1720769099,6,59,859.85,859.95,1,653551,1741762,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788899.143682
859.85,6856504,1720769098,1720769099,6,59,859.85,859.95,1,653543,1741776,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788899.343955
859.85,6856504,1720769098,1720769100,6,59,859.85,859.95,1,653543,1741776,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788900.342728
859.95,6856506,1720769100,1720769100,5,58,859.85,859.95,1,653542,1742112,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788900.543138
859.95,6856506,1720769100,1720769101,5,58,859.85,859.95,68,653542,1742112,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788901.143359
859.95,6856606,1720769100,1720769101,31,11535,859.9,860.0,68,655653,1741272,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788901.543901
860.0,6856606,1720769100,1720769102,31,11535,859.9,860.0,34,655653,1741272,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788902.148282
859.9,6856819,1720769102,1720769102,19,11334,859.9,860.0,12,656347,1740845,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788902.552703
860.0,6856819,1720769102,1720769103,19,11334,859.9,860.0,33,656347,1740845,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788903.152293
859.9,6857103,1720769103,1720769103,31,11151,859.9,860.0,100,655849,1740770,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788903.546949
860.0,6857103,1720769103,1720769104,31,11151,859.9,860.0,33,655849,1740770,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788904.14941
859.95,6857341,1720769104,1720769104,31,148,859.9,859.95,1,650576,1740611,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788904.546987
859.95,6857341,1720769104,1720769105,31,148,859.9,859.95,1,650576,1740611,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788905.147107
859.75,6857489,1720769105,1720769105,5,81,859.75,859.95,1,652642,1737009,859.55,855.3,863.0,0,0,856.7,856.7,3.05,0.356,1720788905.753857
859.95,6857489,1720769105,1720769106,5,81,859.75,859.95,1,652642,1737009,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788906.146454
