bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_order1,bid_order2,bid_order3,bid_order4,bid_order5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_order1,ask_order2,ask_order3,ask_order4,ask_order5,time
859.55,859.45,859.35,859.3,859.25,859.65,859.7,859.75,859.8,859.85,2,1,51,54,742,75,299,1090,1179,3788,1,1,2,1,7,3,3,9,9,17,1720789314.887826
859.1,859.05,859.0,858.95,858.9,859.2,859.25,859.4,859.5,859.55,325,738,1433,879,1820,335,499,116,128,565,4,8,17,12,12,1,1,1,3,5,1720789315.809444
859.2,859.15,859.1,859.05,859.0,859.25,859.45,859.5,859.55,859.6,33,87,329,738,847,303,283,401,549,960,1,2,5,8,15,1,2,6,4,10,1720789317.038907
859.5,859.35,859.3,859.25,859.2,859.55,859.6,859.65,859.7,859.75,6,113,140,533,913,16,107,61,575,1224,1,2,3,8,12,1,2,2,6,10,1720789318.062886
859.4,859.25,859.2,859.15,859.1,859.5,859.55,859.6,859.65,859.7,59,369,377,658,567,4162,54,6,385,548,1,4,6,7,7,4,1,1,6,7,1720789319.191266
859.4,859.25,859.2,859.15,859.1,859.5,859.55,859.6,859.65,859.7,59,228,376,664,561,3996,54,222,615,548,1,1,7,8,6,2,1,1,8,7,1720789320.178234
859.45,859.4,859.25,859.2,859.15,859.5,859.55,859.6,859.65,859.7,30,54,228,537,664,3794,62,222,560,524,1,1,1,10,8,1,3,1,7,6,1720789321.236446
859.45,859.4,859.35,859.25,859.2,859.5,859.55,859.6,859.65,859.7,30,54,1,228,571,3660,8,222,560,534,1,1,1,1,11,1,2,1,7,7,1720789322.386526
860.3,860.15,860.1,860.05,860.0,860.4,860.45,860.5,860.55,860.6,13,333,286,735,904,4,228,7432,290,981,2,2,5,7,9,1,1,17,5,9,1720790793.560319
860.3,860.15,860.1,860.05,860.0,860.45,860.5,860.55,860.6,860.65,15,228,286,739,908,651,7486,250,858,1333,2,1,5,8,10,2,18,4,8,22,1720790794.261549
